1	0	-164.1605619537
2	0	-165.0834897153
3	0	-159.0850963665
4	0	-163.9523148499
5	0	-167.0472650843
6	0	-163.3010301765
7	0	-167.4363650173
8	0	-164.6984627773
9	0	-162.4043856527
10	0	-160.6422282136
11	0	-161.7627036577
12	0	-168.0036777592
13	0	-165.271447453
14	0	-166.0916420609
15	0	-165.7940616158
16	0	-166.0076218162
17	0	-162.3249530037
18	0	-166.416647095
19	0	-167.1430635875
20	0	-163.9688878765
21	1	-167.1430635875
22	1	-166.282215753
23	1	-168.6418584334
24	1	-162.7148576176
25	1	-168.1965162407
26	1	-168.2978971762
27	1	-166.101170744
28	1	-166.8712841523
29	1	-169.5584696868
30	1	-167.348532718
31	1	-167.220248329
32	1	-167.0280737917
33	1	-165.2996083448
34	1	-165.9134491913
35	1	-169.7130170503
36	1	-165.1361208133
37	2	-168.3727689838
38	2	-165.1040356499
39	2	-169.5585285556
40	2	-167.3995300953
41	2	-170.7112773316
42	2	-164.768445688
43	2	-166.68538724
44	2	-167.0919185478
45	2	-168.2318721309
46	2	-168.8633106234
47	2	-169.2781715876
48	2	-168.9939529336
49	2	-166.3068517711
50	2	-163.3065839141
51	2	-166.5446625337
52	2	-169.2876716078
53	3	-168.0036788502
54	3	-168.4229000149
55	3	-170.7112673609
56	3	-169.3934860345
57	3	-167.9274326879
58	3	-168.2288528632
59	3	-168.4354024927
60	3	-169.5207964399
61	3	-165.6644326085
62	3	-169.4584627243
63	3	-168.3480758134
64	3	-168.1946931965
65	3	-166.8304204834
66	3	-168.0333688077
67	3	-165.9153091818
68	3	-165.5958740997
69	4	-169.7870474054
70	4	-168.0666444904
71	4	-165.9847430823
72	4	-168.9285909321
73	4	-169.3935735519
74	4	-169.6005614854
75	4	-170.361682589
76	4	-168.5408535121
77	4	-164.9687148811
78	4	-168.5940420655
79	4	-169.9011940825
80	4	-166.8318092157
81	4	-168.3729371931
82	4	-169.3935599906
83	4	-171.0213352559
84	4	-169.2600408647
85	5	-167.2868333746
86	5	-168.3029416425
87	5	-170.3617008273
88	5	-168.3846127815
89	5	-167.6398096842
90	5	-168.3436317961
91	5	-167.8489509329
92	5	-167.2829315916
93	5	-172.8777291602
94	5	-168.6274619942
95	5	-168.4430935168
96	5	-167.3886323482
97	5	-168.7408253203
98	5	-167.8471700132
99	5	-169.4291540967
100	5	-169.2961869533
101	6	-169.6479092661
102	6	-172.1249758376
103	6	-168.1299303294
104	6	-172.8777233237
105	6	-169.7870474054
106	6	-167.1182878279
107	6	-171.9925925928
108	6	-169.1769132402
109	6	-169.3041375244
110	6	-172.8777211665
111	6	-170.869853839
112	6	-170.5130228831
113	6	-166.5038289676
114	6	-168.9687447135
115	6	-169.7124081451
116	6	-169.5080683849
117	7	-170.9924590614
118	7	-171.0213209072
119	7	-171.2997504685
120	7	-169.0073978037
121	7	-168.2841911822
122	7	-166.1496892076
123	7	-167.856981903
124	7	-169.1145646775
125	7	-169.9012410836
126	7	-170.4386938416
127	7	-172.877734078
128	7	-172.8777325654
129	7	-168.3984025698
130	7	-172.8777291602
131	7	-168.9852819544
132	7	-170.8259948122
133	8	-168.0635872657
134	8	-167.4173859823
135	8	-165.9146353193
136	8	-169.3834793017
137	8	-171.6634767138
138	8	-169.1388764422
139	8	-169.0789965901
140	8	-170.7112773316
141	8	-167.6185115429
142	8	-167.8219414394
143	8	-169.8670585096
144	8	-167.6287971889
145	8	-170.8259948122
146	8	-168.1552223215
147	8	-170.9924568428
148	8	-172.8777311477
149	9	-170.0544716806
150	9	-171.7734058433
151	9	-169.3180184743
152	9	-170.1503725138
153	9	-169.9011789494
154	9	-169.9663033807
155	9	-168.5314155835
156	9	-171.2997401549
157	9	-170.799418924
158	9	-163.4393150844
159	9	-170.0332794252
160	9	-170.3616702542
161	9	-170.5327958571
162	9	-166.3371322353
163	9	-168.0599799076
164	9	-167.9991516086
165	10	-168.0242904958
166	10	-170.2145805965
167	10	-167.2792159098
168	10	-167.2161948566
169	10	-168.128142578
170	10	-168.6237206394
171	10	-172.8777280529
172	10	-167.9899273897
173	10	-162.2980056746
174	10	-171.1114568249
175	10	-166.2930701542
176	10	-172.2005518698
177	10	-170.311277493
178	10	-170.4386938416
179	10	-165.9796752253
180	10	-168.6421508187
181	11	-172.8777280122
182	11	-172.2005525755
183	11	-169.5460730456
184	11	-161.6094426343
185	11	-170.3059856343
186	11	-171.0163159444
187	11	-167.6573024241
188	11	-172.2005505858
189	11	-168.0581168093
190	11	-170.3112817341
191	11	-172.1249688411
192	11	-171.7734072269
193	11	-163.8724502582
194	11	-169.130517963
195	11	-164.6151870533
196	11	-167.9658812705
197	12	-166.3120091378
198	12	-164.2075871484
199	12	-164.3068071486
200	12	-167.8107421282
201	12	-172.8777209106
202	12	-167.0448540921
203	12	-167.2721120264
204	12	-167.5370296004
205	12	-167.5881097696
206	12	-171.0648197599
207	12	-169.7944158074
208	12	-166.4719134526
209	12	-168.9254910451
210	12	-170.9650774079
211	12	-168.6215408837
212	12	-170.2092929597
213	13	-169.6491898292
214	13	-172.8777266285
215	13	-168.434409633
216	13	-167.1507964603
217	13	-168.4398505892
218	13	-170.0889068895
219	13	-165.143183861
220	13	-166.5900634314
221	13	-169.6371450338
222	13	-169.136180081
223	13	-172.2005505064
224	13	-171.9690108387
225	13	-172.877734078
226	13	-166.1757513616
227	13	-170.7608026052
228	13	-167.907991518
229	14	-169.3802747278
230	14	-168.5721803996
231	14	-171.0213321661
232	14	-169.076311628
233	14	-170.4386911494
234	14	-168.8971769687
235	14	-165.4284845885
